code;nameja;kana
142331;南幌町栄町;なんぽろちょうさかえまち
142720;由仁町新光;ゆにちょうしんこう
142831;長沼町中央;ながぬまちょうちゅうおう
142931;栗山町松風;くりやまちょうまつかぜ
143020;月形町円山公園;つきがたちょうまるやまこうえん
122001;士別市朝日町;しべつしあさひちょう
122002;士別市東６条;しべつしひがしろくじょう
122021;士別市東３条;しべつしひがしさんじょう
122100;名寄市大通;なよろしおおどおり
122120;名寄市西５条;なよろしにしごじょう
122131;名寄市風連町;なよろしふうれんちょう
146420;和寒町西町;わっさむちょうにしまち
146531;剣淵町仲町;けんぶちちょうなかまち
146820;下川町北町;しもかわちょうきたまち
146920;美深町西町;びふかちょうにしまち
146921;美深町仁宇布;びふかちょうにうぷ
147020;音威子府村音威子府;おといねっぷむらおといねっぷ
147120;上川中川町中川;かみかわなかがわちょうなかがわ
147220;幌加内町平和;ほろかないちょうへいわ
147221;幌加内町朱鞠内;ほろかないちょうしゅまりない
120401;旭川市宮前１条;あさひかわしみやまえいちじょう
120420;旭川市７条;あさひかわしななじょう
145231;鷹栖町南１条;たかすちょうみなみいちじょう
145332;東神楽町南１条;ひがしかぐらちょうみなみいちじょう
145431;当麻町３条;とうまちょうさんじょう
145531;比布町北町;ぴっぷちょうきたまち
145620;愛別町南町;あいべつちょうみなみまち
145701;上川地方上川町越路;かみかわちほうかみかわちょうこしじ
145720;上川地方上川町花園町;かみかわちほうかみかわちょうはなぞのちょう
145721;上川地方上川町清川;かみかわちほうかみかわちょうきよかわ
145830;東川町東町;ひがしかわちょうひがしまち
145920;美瑛町本町;びえいちょうもとまち
145921;美瑛町忠別;びえいちょうちゅうべつ
122900;富良野市若松町;ふらのしわかまつちょう
122920;富良野市末広町;ふらのしすえひろちょう
146000;上富良野町大町;かみふらのちょうおおまち
146131;中富良野町本町;なかふらのちょうもとまち
146200;南富良野町幾寅;みなみふらのちょういくとら
146220;南富良野町役場;みなみふらのちょうやくば
146320;占冠村中央;しむかっぷむらちゅうおう
148331;苫前町旭;とままえちょうあさひ
148400;羽幌町南３条;はぼろちょうみなみさんじょう
148401;羽幌町焼尻;はぼろちょうやぎしり
148420;羽幌町南町;はぼろちょうみなみまち
148500;初山別村有明;しょさんべつむらありあけ
148520;初山別村初山別;しょさんべつむらしょさんべつ
148620;遠別町本町;えんべつちょうほんちょう
148720;天塩町川口;てしおちょうかわぐち
121201;留萌市大町;るもいしおおまち
121220;留萌市幸町;るもいしさいわいちょう
148120;増毛町見晴町;ましけちょうみはらしちょう
148121;増毛町岩尾;ましけちょういわお
148220;小平町鬼鹿;おびらちょうおにしか
148221;小平町達布;おびらちょうたっぷ
121401;稚内市恵北;わっかないしけいほく
121402;稚内市開運;わっかないしかいうん
121420;稚内市中央;わっかないしちゅうおう
121421;稚内市宗谷岬;わっかないしそうやみさき
121423;稚内市沼川;わっかないしぬまかわ
151121;猿払村浅茅野;さるふつむらあさじの
151122;猿払村浜鬼志別;さるふつむらはまおにしべつ
151620;豊富町西６条;とよとみちょうにしろくじょう
152031;幌延町宮園町;ほろのべちょうみやぞのまち
151220;浜頓別町クッチャロ;はまとんべつちょうくっちゃろ
151320;中頓別町中頓別;なかとんべつちょうなかとんべつ
151401;宗谷枝幸町岬町;そうやえさしちょうみさきちょう
151403;宗谷枝幸町本町;そうやえさしちょうほんちょう
151420;宗谷枝幸町栄町;そうやえさしちょうさかえちょう
151421;宗谷枝幸町歌登東町;そうやえさしちょううたのぼりひがしまち
151422;宗谷枝幸町風烈布;そうやえさしちょうふうれっぷ
151700;礼文町上泊埼;れぶんちょううえどまりさき
151720;礼文町香深;れぶんちょうかふか
151721;礼文町船泊;れぶんちょうふなどまり
151831;利尻町沓形;りしりちょうくつがた
151900;利尻富士町鬼脇;りしりふじちょうおにわき
151920;利尻富士町鴛泊;りしりふじちょうおしどまり
121100;網走市台町;あばしりしだいまち
121121;網走市北２条;あばしりしきたにじょう
154301;美幌町東３条;びほろちょうひがしさんじょう
154420;津別町幸町;つべつちょうさいわいまち
154500;斜里町本町;しゃりちょうほんまち
154521;斜里町ウトロ香川;しゃりちょううとろかがわ
154631;清里町羽衣町;きよさとちょうはごろもまち
154721;小清水町小清水;こしみずちょうこしみず
156432;大空町東藻琴;おおぞらちょうひがしもこと
156433;大空町女満別西３条;おおぞらちょうめまんべつにしさんじょう
120800;北見市公園町;きたみしこうえんちょう
120803;北見市常呂町東浜;きたみしところちょうひがしはま
120804;北見市留辺蘂町温根湯温泉;きたみしるべしべちょうおんねゆおんせん
120820;北見市南仲町;きたみしみなみなかまち
120821;北見市常呂町常呂;きたみしところちょうところ
120822;北見市留辺蘂町栄町;きたみしるべしべちょうさかえまち
120823;北見市留辺蘂町富士見;きたみしるべしべちょうふじみ
120831;北見市端野町二区;きたみしたんのちょうにく
154931;訓子府町東町;くんねっぷちょうひがしまち
155020;置戸町拓殖;おけとちょうたくしょく
;佐呂間町西冨;
121901;紋別市南が丘町;もんべつしみなみがおかちょう
121921;紋別市北浜町;もんべつしきたはまちょう
155500;遠軽町丸瀬布金湧山;えんがるちょうまるせっぷきんゆうざん
155520;遠軽町学田;えんがるちょうがくでん
155521;遠軽町白滝;えんがるちょうしらたき
155531;遠軽町生田原;えんがるちょういくたはら
155920;湧別町栄町;ゆうべつちょうさかえまち
155931;湧別町上湧別;ゆうべつちょうかみゆうべつ
156020;滝上町旭町;たきのうえちょうあさひまち
156120;興部町興部;おこっぺちょうおこっぺ
156220;西興部村西興部;にしおこっぺむらにしおこっぺ
156301;雄武町雄武;おうむちょうおうむ
123300;胆振伊達市梅本;いぶりだてしうめもと
123320;胆振伊達市末永町;いぶりだてしすえながちょう
123321;胆振伊達市大滝区本町;いぶりだてしおおたきくほんちょう
157120;豊浦町大岸;とようらちょうおおきし
157520;壮瞥町滝之町;そうべつちょうたきのまち
158432;洞爺湖町栄町;とうやこちょうさかえちょう
158433;洞爺湖町洞爺町;とうやこちょうとうやまち
120501;室蘭市山手町;むろらんしやまてちょう
120520;室蘭市寿町;むろらんしことぶきちょう
121301;苫小牧市末広町;とまこまいしすえひろちょう
121320;苫小牧市旭町;とまこまいしあさひまち
123000;登別市鉱山;のぼりべつしこうざん
123020;登別市桜木町;のぼりべつしさくらぎちょう
157801;白老町竹浦;しらおいちょうたけうら
157820;白老町緑丘;しらおいちょうみどりがおか
158100;厚真町鹿沼;あつまちょうしかぬま
158131;厚真町京町;あつまちょうきょうまち
158520;安平町早来北進;あびらちょうはやきたほくしん
158521;安平町追分柏が丘;あびらちょうおいわけかしわがおか
158620;むかわ町松風;むかわちょうまつかぜ
158621;むかわ町穂別;むかわちょうほべつ
160120;日高地方日高町日高;ひだかちほうひだかちょうひだか
160121;日高地方日高町門別;ひだかちほうひだかちょうもんべつ
160200;平取町仁世宇;びらとりちょうにせう
160220;平取町本町;びらとりちょうほんちょう
160221;平取町振内;びらとりちょうふれない
160431;新冠町北星町;にいかっぷちょうほくせいちょう
161001;新ひだか町静内山手町;しんひだかちょうしずないやまてちょう
161002;新ひだか町静内御園;しんひだかちょうしずないみその
161020;新ひだか町静内御幸町;しんひだかちょうしずないみゆきちょう
161021;新ひだか町三石旭町;しんひだかちょうみついしあさひまち
161022;新ひだか町静内農屋;しんひだかちょうしずないのや
160701;浦河町野深;うらかわちょうのぶか
160702;浦河町潮見;うらかわちょうしおみ
160720;浦河町築地;うらかわちょうつきじ
160820;様似町栄町;さまにちょうさかえまち
160900;えりも町本町;えりもちょうほんちょう
160921;えりも町目黒;えりもちょうめぐろ
160922;えりも町えりも岬;えりもちょうえりもみさき
163320;上士幌町清水谷;かみしほろちょうしみずだに
163331;上士幌町上士幌;かみしほろちょうかみしほろ
163431;鹿追町東町;しかおいちょうひがしまち
163520;新得町２条;しんとくちょうにじょう
163521;新得町トムラウシ;しんとくちょうとむらうし
164700;足寄町上螺湾;あしょろちょうかみらわん
164720;足寄町南１条;あしょろちょうみなみいちじょう
164820;陸別町陸別;りくべつちょうりくべつ
120700;帯広市東４条;おびひろしひがしよじょう
120720;帯広市東６条;おびひろしひがしろくじょう
163131;音更町元町;おとふけちょうもとまち
163220;士幌町士幌;しほろちょうしほろ
163600;十勝清水町南４条;とかちしみずちょうみなみよじょう
163732;芽室町東２条;めむろちょうひがしにじょう
164300;幕別町忠類明和;まくべつちょうちゅうるいめいわ
164333;幕別町忠類錦町;まくべつちょうちゅうるいにしきまち
164334;幕別町本町;まくべつちょうもとまち
164420;十勝池田町西１条;とかちいけだちょうにしいちじょう
164531;豊頃町茂岩本町;とよころちょうもいわほんまち
164600;本別町北２丁目;ほんべつちょうきたにちょうめ
164620;本別町向陽町;ほんべつちょうこうようちょう
164920;浦幌町桜町;うらほろちょうさくらまち
163820;中札内村東２条;なかさつないむらひがしにじょう
163931;更別村更別;さらべつむらさらべつ
164120;十勝大樹町東本通;とかちたいきちょうひがしほんどおり
164121;十勝大樹町生花;とかちたいきちょうせいか
164200;広尾町並木通;ひろおちょうなみきどおり
164201;広尾町白樺通;ひろおちょうしらかばどおり
166501;弟子屈町美里;てしかがちょうみさと
166520;弟子屈町弟子屈;てしかがちょうてしかが
166521;弟子屈町サワンチサップ;てしかがちょうさわんちさっぷ
120601;釧路市幸町;くしろしさいわいちょう
120602;釧路市音別町尺別;くしろしおんべつちょうしゃくべつ
120620;釧路市黒金町;くしろしくろがねちょう
120621;釧路市阿寒町中央;くしろしあかんちょうちゅうおう
120623;釧路市阿寒町阿寒湖温泉;くしろしあかんちょうあかんこおんせん
120641;釧路市音別町中園;くしろしおんべつちょうなかぞの
166131;釧路町別保;くしろちょうべっぽ
166200;厚岸町尾幌;あっけしちょうおぼろ
166220;厚岸町真栄;あっけしちょうしんえい
166300;浜中町湯沸;はまなかちょうとうふつ
166321;浜中町茶内;はまなかちょうちゃない
166420;標茶町川上;しべちゃちょうかわかみ
166421;標茶町塘路;しべちゃちょうとうろ
166720;鶴居村鶴居東;つるいむらつるいひがし
166820;白糠町西１条;しらぬかちょうにしいちじょう
169200;中標津町養老牛;なかしべつちょうようろううし
169220;中標津町丸山;なかしべつちょうまるやま
169300;標津町古多糠;しべつちょうこたぬか
169320;標津町北２条;しべつちょうきたにじょう
169321;標津町薫別;しべつちょうくんべつ
169400;羅臼町春日;らうすちょうかすが
169420;羅臼町緑町;らうすちょうみどりちょう
169421;羅臼町岬町;らうすちょうみさきちょう
169100;別海町常盤;べつかいちょうときわ
169120;別海町西春別;べつかいちょうにししゅんべつ
169122;別海町本別海;べつかいちょうほんべつかい
122300;根室市弥栄;ねむろしやさかえ
122301;根室市豊里;ねむろしとよさと
122320;根室市牧の内;ねむろしまきのうち
122321;根室市厚床;ねむろしあっとこ
122322;根室市落石東;ねむろしおちいしひがし
122323;根室市珸瑤瑁;ねむろしごようまい
220100;青森市花園;あおもりしはなぞの
220120;青森市中央;あおもりしちゅうおう
220130;青森市浪岡;あおもりしなみおか
220500;五所川原市栄町;ごしょがわらしさかえまち
220501;五所川原市太田;ごしょがわらしおおた
220520;五所川原市敷島町;ごしょがわらししきしまちょう
220533;五所川原市相内;ごしょがわらしあいうち
220534;五所川原市金木町;ごしょがわらしかなぎちょう
230100;平内町小湊;ひらないまちこみなと
230120;平内町東田沢;ひらないまちひがしたざわ
230330;今別町今別;いまべつまちいまべつ
230431;蓬田村阿弥陀川;よもぎたむらあみだがわ
238132;板柳町板柳;いたやなぎまちいたやなぎ
238430;鶴田町鶴田;つるたまちつるた
220932;つがる市柏;つがるしかしわ
220936;つがる市森田町;つがるしもりたちょう
220938;つがる市稲垣町;つがるしいながきちょう
220939;つがる市車力町;つがるししゃりきちょう
220940;つがる市木造;つがるしきづくり
230733;外ヶ浜町平舘;そとがはままちたいらだて
230734;外ヶ浜町三厩;そとがはままちみんまや
230735;外ヶ浜町蟹田;そとがはままちかにた
238733;中泊町小泊;なかどまりまちこどまり
238734;中泊町中里;なかどまりまちなかさと
220200;弘前市和田町;ひろさきしわだちょう
220201;弘前市弥生;ひろさきしやよい
220220;弘前市城東中央;ひろさきしじょうとうちゅうおう
220230;弘前市賀田;ひろさきしよした
220232;弘前市五所;ひろさきしごしょ
220430;黒石市市ノ町;くろいししいちのまち
232101;鰺ヶ沢町舞戸町鳴戸;あじがさわまちまいとまちなると
232120;鰺ヶ沢町舞戸町小夜;あじがさわまちまいとまちさよ
232301;深浦町長慶平;ふかうらまちちょうけいだいら
232302;深浦町深浦岡町;ふかうらまちふかうらおかまち
