code;nameja;kana;nameen;lat;lon;citycode;arv
2944631;天川村沢谷;てんかわむらさわたに;Tenkawa Village Sawatani;34.24;135.86;2944600;0.7547
2944730;野迫川村北股;のせがわむらきたまた;Nosegawa Village Kitamata;34.17;135.63;2944700;0.5689
2944932;十津川村小原;とつかわむらおはら;Totsukawa Village Ohara;33.99;135.79;2944900;0.5689
2945032;下北山村寺垣内;しもきたやまむらてらがいと;Shimokitayama Village Teragaito;34.00;135.95;2945000;0.5689
2945131;上北山村河合;かみきたやまむらかわい;Kamikitayama Village Kawai;34.13;136.00;2945100;0.5689
2945230;奈良川上村迫;ならかわかみむらさこ;Nara Kawakami Village Sako;34.34;135.95;2945200;0.5689
2945332;東吉野村小川;ひがしよしのむらおがわ;Higashiyoshino Village Ogawa;34.40;135.97;2945300;0.7899
2921130;葛城市柿本;かつらぎしかきのもと;Katsuragi City Kakinomoto;34.49;135.73;2921100;1.1657
2921231;宇陀市菟田野松井;うだしうたのまつい;Uda City Utanomatsui;34.47;135.98;2921200;0.8987
2942730;河合町池部;かわいちょういけべ;Kawai Town Ikebe;34.58;135.74;2942700;0.9824
2932231;山添村大西;やまぞえむらおおにし;Yamazoe Village Onishi;34.68;136.04;2932200;0.5689
3030433;紀美野町下佐々;きみのちょうしもささ;Kimino Town Shimosasa;34.15;135.31;3030400;0.5689
3036632;有田川町下津野;ありだがわちょうしもつの;Aridagawa Town Shimotsuno;34.06;135.22;3036600;0.8885
3132530;鳥取若桜町若桜;とっとりわかさちょうわかさ;Tottori Wakasa Town Wakasa;35.34;134.40;3132500;0.9329
3132800;智頭町智頭;ちづちょうちづ;Chizu Town Chizu;35.26;134.23;3132800;0.6689
3132930;八頭町郡家;やずちょうこおげ;Yazu Town Koge;35.41;134.25;3132900;0.8897
3132931;八頭町船岡;やずちょうふなおか;Yazu Town Funaoka;35.39;134.25;3132900;0.8521
3132932;八頭町北山;やずちょうきたやま;Yazu Town Kitayama;35.36;134.36;3132900;1.0016
3120301;倉吉市岩倉長峯;くらよししいわくらながみね;Kurayoshi City Iwakuranagamine;35.38;133.82;3120300;0.6689
3120320;倉吉市葵町;くらよししあおいまち;Kurayoshi City Aoi Town;35.43;133.83;3120300;0.9465
3120330;倉吉市関金町大鳥居;くらよししせきがねちょうおおどりい;Kurayoshi City Sekigane Town Odorii;35.37;133.75;3120300;1.1208
3136431;三朝町大瀬;みささちょうおおぜ;Misasa Town Oze;35.41;133.86;3136400;0.6689
3137120;琴浦町赤碕中学校;ことうらちょうあかさきちゅうがっこう;Kotora Town Akasaki Middle School;35.51;133.63;3137100;1.3040
3137131;琴浦町赤碕;ことうらちょうあかさき;Kotora Town Akasaki;35.52;133.64;3137100;
3137132;琴浦町徳万;ことうらちょうとくまん;Kotora Town Tokuman;35.50;133.69;3137100;1.3563
3137030;湯梨浜町久留;ゆりはまちょうひさどめ;Yurihama Town Hisadome;35.49;133.86;3137000;1.8484
3137032;湯梨浜町龍島;ゆりはまちょうりゅうとう;Yurihama Town Ryuto;35.47;133.90;3137000;1.4761
3130201;岩美町浦富;いわみちょううらどめ;Iwami Town Uradome;35.58;134.33;3130200;0.6689
3137033;湯梨浜町泊;ゆりはまちょうとまり;Yurihama Town Tomari;35.51;133.94;3137000;0.8992
3137232;北栄町土下;ほくえいちょうはした;Hokuei Town Hashita;35.48;133.82;3137200;1.7490
3120202;米子市博労町;よなごしばくろうまち;Yonago City Bakuro Town;35.44;133.34;3120200;1.4425
3120220;米子市東町;よなごしひがしちょう;Yonago City Higashi Town;35.43;133.33;3120200;1.4425
3120230;米子市淀江町;よなごしよどえちょう;Yonago City Yodoe Town;35.45;133.42;3120200;0.8125
3120401;境港市東本町;さかいみなとしひがしほんまち;Sakaiminato City Higashihon Town;35.54;133.24;3120400;1.4425
3120432;境港市竹内町;さかいみなとしたけのうちちょう;Sakaiminato City Takenochi Town;35.52;133.24;3120400;1.4425
3138431;日吉津村日吉津;ひえづそんひえづ;Hiezu Village Hiezu;35.44;133.38;3138400;1.8586
3138631;大山町御来屋;だいせんちょうみくりや;Daisen Town Mikuriya;35.51;133.50;3138600;1.3089
3138633;大山町末長;だいせんちょうすえなが;Daisen Town Suenaga;35.48;133.46;3138600;1.2176
3138634;大山町赤坂;だいせんちょうあかざか;Daisen Town Akazaka;35.52;133.58;3138600;1.3733
3140120;日南町生山;にちなんちょうしょうやま;Nichinan Town Shoyama;35.17;133.31;3140100;0.9161
3140131;日南町霞;にちなんちょうかすみ;Nichinan Town Kasumi;35.16;133.31;3140100;0.5689
3140231;鳥取日野町根雨;とっとりひのちょうねう;Tottori Hino Town Neu;35.24;133.44;3140200;0.9644
3140320;江府町上之段広場;こうふちょうじょうのだんひろば;Kofu Town Jonodanhiroba;35.28;133.49;3140300;0.5689
3137231;北栄町由良宿;ほくえいちょうゆらしゅく;Hokuei Town Yurashuku;35.49;133.76;3137200;2.0226
3036620;有田川町清水;ありだがわちょうしみず;Aridagawa Town Shimizu;34.08;135.43;3036600;0.5689
3120141;鳥取市青谷町青谷;とっとりしあおやちょうあおや;Tottori City Aoya Town Aoya;35.52;134.00;3120100;1.7490
3120139;鳥取市気高町浜村;とっとりしけたかちょうはまむら;Tottori City Ketaka Town Hama Village;35.51;134.06;3120100;0.6689
3036633;有田川町中井原;ありだがわちょうなかいばら;Aridagawa Town Nakaibara;34.07;135.25;3036600;0.9102
3020930;岩出市西野;いわでしにしの;Iwade City Nishino;34.26;135.31;3020900;1.2782
3020600;田辺市中辺路町近露;たなべしなかへちちょうちかつゆ;Tanabe City Nakahechi Town Chikatsuyu;33.82;135.61;3020600;0.6689
3020630;田辺市中辺路町栗栖川;たなべしなかへちちょうくりすがわ;Tanabe City Nakahechi Town Kurisugawa;33.79;135.52;3020600;0.6689
3020632;田辺市本宮町本宮;たなべしほんぐうちょうほんぐう;Tanabe City Hongu Town Hongu;33.84;135.77;3020600;0.8620
3020633;田辺市鮎川;たなべしあゆかわ;Tanabe City Ayukawa;33.73;135.49;3020600;1.1433
3020635;田辺市龍神村西;たなべしりゅうじんむらにし;Tanabe City Ryujin Village Nishi;33.89;135.49;3020600;0.7768
3020636;田辺市東山;たなべしひがしやま;Tanabe City Higashiyama;33.73;135.39;3020600;1.0741
3020702;新宮市新宮;しんぐうししんぐう;Shingu City Shingu;33.73;135.99;3020700;1.7490
3020720;新宮市磐盾;しんぐうしいわたて;Shingu City Iwatate;33.72;135.98;3020700;0.9546
3020730;新宮市熊野川町日足;しんぐうしくまのがわちょうひたり;Shingu City Kumanogawa Town Hitari;33.81;135.87;2421200;1.2344
3040102;白浜町消防本部;しらはまちょうしょうぼうほんぶ;Shirahama Town Fire Department;33.67;135.36;3040100;0.9078
3040130;白浜町日置;しらはまちょうひき;Shirahama Town Hiki;33.57;135.44;3040100;0.6689
3040430;上富田町朝来;かみとんだちょうあっそ;Kamitonda Town Asso;33.70;135.43;3040400;1.2826
3120140;鳥取市河原町渡一木;とっとりしかわはらちょうわたりひとつぎ;Tottori City Kawahara Town Watarihitotsugi;35.40;134.20;3120100;0.8956
3040620;すさみ町周参見;すさみちょうすさみ;Susami Town Susami;33.55;135.50;3040600;0.6689
3042820;串本町串本;くしもとちょうくしもと;Kushimoto Town Kushimoto;33.47;135.78;3042800;1.4425
3042133;那智勝浦町天満;なちかつうらちょうてんま;Nachikatsura Town Tenma;33.63;135.94;3042100;1.7490
3042220;太地町太地暖海公園;たいじちょうたいじあたみこうえん;Taiji Town Taijiatami Park;33.59;135.95;3042200;1.4761
3042230;太地町役場;たいじちょうやくば;Taiji Town Town Office;33.59;135.94;3042200;0.6689
3042401;古座川町高池;こざがわちょうたかいけ;Kozagawa Town Takaike;33.53;135.82;3042400;0.6689
3042730;北山村大沼;きたやまむらおおぬま;Kitayama Village Onuma;33.93;135.97;2421200;1.0131
3120100;鳥取市吉方;とっとりしよしかた;Tottori City Yoshikata;35.49;134.24;3120100;1.7490
3120120;鳥取市吉成;とっとりしよしなり;Tottori City Yoshinari;35.49;134.22;3120100;2.1584
3120121;鳥取市鹿野町鹿野小学校;とっとりししかのちょうしかのしょうがっこう;Tottori City Shikano Town Shikano Elementary School;35.46;134.05;3120100;1.1914
3120131;鳥取市福部町細川;とっとりしふくべちょうほそがわ;Tottori City Fukube Town Hosogawa;35.54;134.28;3120100;0.6689
3120133;鳥取市用瀬町用瀬;とっとりしもちがせちょうもちがせ;Tottori City Mochigase Town Mochigase;35.34;134.21;3120100;0.6689
3120134;鳥取市佐治町加瀬木;とっとりしさじちょうかせぎ;Tottori City Saji Town Kasegi;35.33;134.11;3120100;0.9573
3120136;鳥取市鹿野町鹿野;とっとりししかのちょうしかの;Tottori City Shikano Town Shikano;35.46;134.06;3120100;0.8710
3120138;鳥取市国府町宮下;とっとりしこくふちょうみやのした;Tottori City Kokufu Town Miyanoshita;35.48;134.26;3120100;1.3475
3042801;串本町潮岬;くしもとちょうしおのみさき;Kushimoto Town Shionomisaki;33.45;135.76;3042800;0.8949
3140332;江府町江尾;こうふちょうえび;Kofu Town Ebi;35.28;133.48;3140300;0.5689
2921031;香芝市本町;かしばしほんまち;Kashiba City Hon Town;34.54;135.70;2921000;1.1681
2920830;御所市役所;ごせしやくしょ;Gose City Hall;34.46;135.74;2920800;0.8955
2820400;西宮市宮前町;にしのみやしみやまえちょう;Nishinomiya City Miyamae Town;34.73;135.34;2820400;1.8369
2820420;西宮市平木;にしのみやしひらき;Nishinomiya City Hiraki;34.75;135.35;2820400;1.7973
2820440;西宮市名塩;にしのみやしなじお;Nishinomiya City Najio;34.83;135.31;2820400;0.9994
